YEAR|MINTAGE|VG-8|F-12|VF-20|EF-40|AU-50|MS-60|MS-63|MS-65|PF-65|Paren|ADDITIONAL_INFO
1999S,:New:Jersey|-1|-1|-1|-1|-1|-1|-1|-1|-1|1.75|3713359|State Quarters
1999S,:New:Jersey:-:Silver|-1|-1|-1|-1|-1|-1|-1|-1|-1|14|804565|State Quarters
1999P,:Georgia|451188000|-1|-1|-1|-1|.25|-1|.30|-1|-1||State Quarters
1999D,:Georgia|488744000|-1|-1|-1|-1|.25|-1|.30|-1|-1||State Quarters
1999S,:Georgia|-1|-1|-1|-1|-1|-1|-1|-1|-1|1.75|3713359|State Quarters
1999S,:Georgia:-:Silver|-1|-1|-1|-1|-1|-1|-1|-1|-1|14|804565|State Quarters
1999P,:Connecticut|688744000|-1|-1|-1|-1|.25|-1|.30|-1|-1||State Quarters
1999D,:Connecticut|657880000|-1|-1|-1|-1|.25|-1|.30|-1|-1||State Quarters
1999S,:Connecticut|-1|-1|-1|-1|-1|-1|-1|-1|-1|1.75|3713359|State Quarters
1999S,:Connecticut:-:Silver|-1|-1|-1|-1|-1|-1|-1|-1|-1|14|804565|State Quarters

2000P,:Massachusetts|628600000|-1|-1|-1|-1|.25|-1|.30|-1|-1||State Quarters
2000D,:Massachusetts|535184000|-1|-1|-1|-1|.25|-1|.30|-1|-1||State Quarters
2000S,:Massachusetts|-1|-1|-1|-1|-1|-1|-1|-1|-1|1.5|4020172|State Quarters
2000S,:Massachusetts:-:Silver|-1|-1|-1|-1|-1|-1|-1|-1|-1|6|965421|State Quarters
2000P,:Maryland|678200000|-1|-1|-1|-1|.25|-1|.30|-1|-1||State Quarters
2000D,:Maryland|556532000|-1|-1|-1|-1|.25|-1|.30|-1|-1||State Quarters
2000S,:Maryland|-1|-1|-1|-1|-1|-1|-1|-1|-1|1.5|4020172|State Quarters
2000S,:Maryland:-:Silver|-1|-1|-1|-1|-1|-1|-1|-1|-1|6|965421|State Quarters
2000P,:South:Carolina|742576000|-1|-1|-1|-1|.25|-1|.32|-1|-1||State Quarters
2000D,:South:Carolina|566208000|-1|-1|-1|-1|.25|-1|.32|-1|-1||State Quarters
2000S,:South:Carolina|-1|-1|-1|-1|-1|-1|-1|-1|-1|1.5|4020172|State Quarters
2000S,:South:Carolina:-:Silver|-1|-1|-1|-1|-1|-1|-1|-1|-1|6|965421|State Quarters
2000P,:New:Hampshire|673040000|-1|-1|-1|-1|.25|-1|.30|-1|-1||State Quarters
2000D,:New:Hampshire|495976000|-1|-1|-1|-1|.25|-1|.30|-1|-1||State Quarters
2000S,:New:Hampshire|-1|-1|-1|-1|-1|-1|-1|-1|-1|1.5|4020172|State Quarters
2000S,:New:Hampshire:-:Silver|-1|-1|-1|-1|-1|-1|-1|-1|-1|6|965421|State Quarters
2000P,:Virginia|943000000|-1|-1|-1|-1|.25|-1|.30|-1|-1||State Quarters
2000D,:Virginia|651616000|-1|-1|-1|-1|.25|-1|.30|-1|-1||State Quarters
2000S,:Virginia|-1|-1|-1|-1|-1|-1|-1|-1|-1|1.5|4020172|State Quarters
2000S,:Virginia:-:Silver|-1|-1|-1|-1|-1|-1|-1|-1|-1|6|965421|State Quarters

2001P,:New:York|655400000|-1|-1|-1|-1|.25|-1|.30|-1|-1||State Quarters
2001D,:New:York|619640000|-1|-1|-1|-1|.25|-1|.30|-1|-1||State Quarters
2001S,:New:York|-1|-1|-1|-1|-1|-1|-1|-1|-1|1.5|3094140|State Quarters
2001S,:New:York:-:Silver|-1|-1|-1|-1|-1|-1|-1|-1|-1|8|889697|State Quarters
2001P,:North:Carolina|627600000|-1|-1|-1|-1|.25|-1|.30|-1|-1||State Quarters
2001D,:North:Carolina|427876000|-1|-1|-1|-1|.25|-1|.30|-1|-1||State Quarters
2001S,:North:Carolina|-1|-1|-1|-1|-1|-1|-1|-1|-1|1.5|3094140|State Quarters
2001S,:North:Carolina:-:Silver|-1|-1|-1|-1|-1|-1|-1|-1|-1|8|889697|State Quarters
2001P,:Rhode:Island|423000000|-1|-1|-1|-1|.25|-1|.30|-1|-1||State Quarters
2001D,:Rhode:Island|447100000|-1|-1|-1|-1|.25|-1|.30|-1|-1||State Quarters
2001S,:Rhode:Island|-1|-1|-1|-1|-1|-1|-1|-1|-1|1.5|3094140|State Quarters
2001S,:Rhode:Island:-:Silver|-1|-1|-1|-1|-1|-1|-1|-1|-1|8|889697|State Quarters
2001P,:Vermont|423400000|-1|-1|-1|-1|.25|-1|.30|-1|-1||State Quarters
2001D,:Vermont|459404000|-1|-1|-1|-1|.25|-1|.30|-1|-1||State Quarters
2001S,:Vermont|-1|-1|-1|-1|-1|-1|-1|-1|-1|1.5|3094140|State Quarters
2001S,:Vermont:-:Silver|-1|-1|-1|-1|-1|-1|-1|-1|-1|8|889697|State Quarters
2001P,:Kentucky|353000000|-1|-1|-1|-1|.25|-1|.30|-1|-1||State Quarters
