COIN|DENOMINATION|YEAR|ADDITIONAL_INFO|IS_GOLD|IS_SILVER
Lincoln, Memorial Reverse|Small Cent|1975||0|0

Lincoln, Memorial Reverse|Small Cent|1976||0|0

Lincoln, Memorial Reverse|Small Cent|1977||0|0

Lincoln, Memorial Reverse|Small Cent|1978||0|0

Lincoln, Memorial Reverse|Small Cent|1979||0|0

Lincoln, Memorial Reverse|Small Cent|1980||0|0

Lincoln, Memorial Reverse|Small Cent|1981||0|0

Lincoln, Memorial Reverse|Small Cent|1982||0|0

Lincoln, Memorial Reverse|Small Cent|1982|Copper-Plated Zinc|0|0

Lincoln, Memorial Reverse|Small Cent|1983|Copper-Plated Zinc|0|0

Lincoln, Memorial Reverse|Small Cent|1984|Copper-Plated Zinc|0|0

Lincoln, Memorial Reverse|Small Cent|1985|Copper-Plated Zinc|0|0

Lincoln, Memorial Reverse|Small Cent|1986|Copper-Plated Zinc|0|0

Lincoln, Memorial Reverse|Small Cent|1987|Copper-Plated Zinc|0|0

Lincoln, Memorial Reverse|Small Cent|1988|Copper-Plated Zinc|0|0

Lincoln, Memorial Reverse|Small Cent|1989|Copper-Plated Zinc|0|0

Lincoln, Memorial Reverse|Small Cent|1990|Copper-Plated Zinc|0|0

Lincoln, Memorial Reverse|Small Cent|1991|Copper-Plated Zinc|0|0

Lincoln, Memorial Reverse|Small Cent|1992|Copper-Plated Zinc|0|0

Lincoln, Memorial Reverse|Small Cent|1993|Copper-Plated Zinc|0|0

Lincoln, Memorial Reverse|Small Cent|1994|Copper-Plated Zinc|0|0

Lincoln, Memorial Reverse|Small Cent|1995|Copper-Plated Zinc|0|0

Lincoln, Memorial Reverse|Small Cent|1996|Copper-Plated Zinc|0|0

Lincoln, Memorial Reverse|Small Cent|1997|Copper-Plated Zinc|0|0

Lincoln, Memorial Reverse|Small Cent|1998|Copper-Plated Zinc|0|0

Lincoln, Memorial Reverse|Small Cent|1999|Copper-Plated Zinc|0|0

Lincoln, Memorial Reverse|Small Cent|2000|Copper-Plated Zinc|0|0

Lincoln, Memorial Reverse|Small Cent|2001|Copper-Plated Zinc|0|0

Lincoln, Memorial Reverse|Small Cent|2002|Copper-Plated Zinc|0|0

Lincoln, Memorial Reverse|Small Cent|2003|Copper-Plated Zinc|0|0

Lincoln, Memorial Reverse|Small Cent|2004|Copper-Plated Zinc|0|0

Lincoln, Memorial Reverse|Small Cent|2005|Copper-Plated Zinc|0|0

Lincoln, Memorial Reverse|Small Cent|2006|Copper-Plated Zinc|0|0

Lincoln, Memorial Reverse|Small Cent|2007|Copper-Plated Zinc|0|0

Lincoln, Memorial Reverse|Small Cent|2008|Copper-Plated Zinc|0|0

Lincoln, Bicentennial|Small Cent|2009||0|0

Lincoln, Shield Reverse|Small Cent|2010||0|0

Lincoln, Shield Reverse|Small Cent|2011||0|0

Lincoln, Shield Reverse|Small Cent|2012||0|0

Two-Cent Piece|Two-Cent Piece|1864||0|0

Two-Cent Piece|Two-Cent Piece|1865||0|0

Two-Cent Piece|Two-Cent Piece|1866||0|0

Two-Cent Piece|Two-Cent Piece|1867||0|0

Two-Cent Piece|Two-Cent Piece|1868||0|0

Two-Cent Piece|Two-Cent Piece|1869||0|0

Two-Cent Piece|Two-Cent Piece|1870||0|0

Two-Cent Piece|Two-Cent Piece|1871||0|0

Two-Cent Piece|Two-Cent Piece|1872||0|0

Two-Cent Piece|Two-Cent Piece|1873||0|0

Silver - Trime|Three-Cent Piece|1851||0|1

Silver - Trime|Three-Cent Piece|1852||0|1

Silver - Trime|Three-Cent Piece|1853||0|1

Silver - Trime|Three-Cent Piece|1854||0|1

Silver - Trime|Three-Cent Piece|1855||0|1

Silver - Trime|Three-Cent Piece|1856||0|1

Silver - Trime|Three-Cent Piece|1857||0|1

Silver - Trime|Three-Cent Piece|1858||0|1

Silver - Trime|Three-Cent Piece|1859||0|1

Silver - Trime|Three-Cent Piece|1860||0|1

Silver - Trime|Three-Cent Piece|1861||0|1

Silver - Trime|Three-Cent Piece|1862||0|1

Silver - Trime|Three-Cent Piece|1863||0|1

Silver - Trime|Three-Cent Piece|1864||0|1

Silver - Trime|Three-Cent Piece|1865||0|1

Silver - Trime|Three-Cent Piece|1866||0|1

Silver - Trime|Three-Cent Piece|1867||0|1

Silver - Trime|Three-Cent Piece|1868||0|1

Silver - Trime|Three-Cent Piece|1869||0|1

Silver - Trime|Three-Cent Piece|1870||0|1

Silver - Trime|Three-Cent Piece|1871||0|1

Silver - Trime|Three-Cent Piece|1872||0|1

Silver - Trime|Three-Cent Piece|1873||0|1

Nickel|Three-Cent Piece|1865||0|0

Nickel|Three-Cent Piece|1866||0|0

Nickel|Three-Cent Piece|1867||0|0

Nickel|Three-Cent Piece|1868||0|0

Nickel|Three-Cent Piece|1869||0|0

Nickel|Three-Cent Piece|1870||0|0

Nickel|Three-Cent Piece|1871||0|0

Nickel|Three-Cent Piece|1872||0|0

