YEAR|MINTAGE|VF-20|EF-40|MS-63|MS-65|PF-65|Paren|ADDITIONAL_INFO
2004P|1328000000|-1|-1|.1|.15|-1||Clad Coinage and Silver Proofs
2004D|1159500000|-1|-1|.1|.15|-1||Clad Coinage and Silver Proofs
2004S|-1|-1|-1|-1|-1|.6|1789488|Clad Coinage and Silver Proofs
2004S,:Silver|-1|-1|-1|-1|-1|3|1175934|Clad Coinage and Silver Proofs
2005P|1412000000|-1|-1|.1|.15|-1||Clad Coinage and Silver Proofs
2005D|1423500000|-1|-1|.1|.15|-1||Clad Coinage and Silver Proofs
2005S|-1|-1|-1|-1|-1|.6|2275000|Clad Coinage and Silver Proofs
2005S,:Silver|-1|-1|-1|-1|-1|3|1069679|Clad Coinage and Silver Proofs
2006P|1381000000|-1|-1|.1|.15|-1||Clad Coinage and Silver Proofs

2006D|1447000000|-1|-1|.1|.15|-1||Clad Coinage and Silver Proofs
2006S|-1|-1|-1|-1|-1|.6|2000428|Clad Coinage and Silver Proofs
2006S,:Silver|-1|-1|-1|-1|-1|3|1054008|Clad Coinage and Silver Proofs
2007P|1047500000|-1|-1|.1|.15|-1||Clad Coinage and Silver Proofs
2007D|1042000000|-1|-1|.1|.15|-1||Clad Coinage and Silver Proofs
2007S|-1|-1|-1|-1|-1|.5|1702116|Clad Coinage and Silver Proofs
2007S,:Silver|-1|-1|-1|-1|-1|3|875050|Clad Coinage and Silver Proofs
2008P|391000000|-1|-1|.1|.15|-1||Clad Coinage and Silver Proofs
2008D|624500000|-1|-1|.1|.15|-1||Clad Coinage and Silver Proofs
2008S|-1|-1|-1|-1|-1|.5|1405674|Clad Coinage and Silver Proofs
2008S,:Silver|-1|-1|-1|-1|-1|3|763887|Clad Coinage and Silver Proofs
2009P|96500000|-1|-1|.2|.5|-1||Clad Coinage and Silver Proofs
2009D|49500000|-1|-1|.2|.5|-1||Clad Coinage and Silver Proofs
2009S|-1|-1|-1|-1|-1|.5|1482502|Clad Coinage and Silver Proofs

2009S,:Silver|-1|-1|-1|-1|-1|3|697365|Clad Coinage and Silver Proofs
2010P|557000000|-1|-1|.1|.15|-1||Clad Coinage and Silver Proofs
2010D|562000000|-1|-1|.1|.15|-1||Clad Coinage and Silver Proofs
2010S|-1|-1|-1|-1|-1|.5|1103950|Clad Coinage and Silver Proofs
2010S,:Silver|-1|-1|-1|-1|-1|3|585414|Clad Coinage and Silver Proofs
2011P|664000000|-1|-1|.1|.15|-1||Clad Coinage and Silver Proofs
2011D|664000000|-1|-1|.1|.15|-1||Clad Coinage and Silver Proofs
2011S|-1|-1|-1|-1|-1|.5|952881|Clad Coinage and Silver Proofs
2011S,:Silver|-1|-1|-1|-1|-1|3|500395|Clad Coinage and Silver Proofs
2012P|-1|-1|-1|.1|.15|-1||Clad Coinage and Silver Proofs
2012D|-1|-1|-1|.1|.15|-1||Clad Coinage and Silver Proofs
2012S|-1|-1|-1|-1|-1|.5||Clad Coinage and Silver Proofs
2012S,:Silver|-1|-1|-1|-1|-1|3||Clad Coinage and Silver Proofs
